,food_id,food_group,food_subgroup,name_scientific,description
478,714,Dairy and Fat,Fermented milks,,"Buttermilk refers to a number of dairy drinks. Originally, buttermilk was the liquid left behind after churning butter out of cream. This type of buttermilk is known as traditional buttermilk. The term buttermilk also refers to a range of fermented milk drinks, common in warm climates (e.g. , the Middle East, Pakistan, India, and the Southern United States) where unrefrigerated fresh milk sours quickly, as well as in colder climates, such as Germany, Poland, Scandinavia and the Netherlands. This fermented dairy product known as cultured buttermilk is produced from cow's milk and has a characteristically sour taste caused by lactic acid bacteria. This variant is made using one of two species of bacteria—either Streptococcus lactis or Lactobacillus bulgaricus, which creates more tartness. The tartness of buttermilk is due to acid in the milk. The increased acidity is primarily due to lactic acid produced by lactic acid bacteria while fermenting lactose, the primary sugar in milk. As the bacteria produce lactic acid, the pH of the milk decreases and casein, the primary milk protein, precipitates, causing the curdling or clabbering of milk. This process makes buttermilk thicker than plain milk. While both traditional and cultured buttermilk contain lactic acid, traditional buttermilk tends to be less viscous, whereas cultured buttermilk is more viscous. Buttermilk can be drunk straight, and it can also be used in cooking. Soda bread is a bread in which buttermilk reacts with the rising agent, sodium bicarbonate, to produce carbon dioxide."
479,715,Dairy and Fat,Fermented milks,,"Fermented milk products, also known as cultured dairy foods, cultured dairy products, or cultured milk products, are dairy foods that have been fermented with lactic acid bacteria such as Lactobacillus, Lactococcus, and Leuconostoc. The fermentation process increases the shelf-life of the product, while enhancing the taste and improving the digestibility of milk. There is evidence that fermented milk products have been produced since around 10,000 BC. A range of different Lactobacilli strains has been grown in laboratories allowing for a wide range of cultured milk products with different tastes."
480,716,Grains,Soy products,,"Soy sauce (also called soya sauce) is a condiment produced by fermenting soybeans with Aspergillus oryzae or Aspergillus sojae molds, along with water and salt. After the fermentation, which yields fermented soybean paste, the paste is pressed, and two substances are obtained: a liquid, which is the soy sauce, and a cake of (wheat and) soy residue, the latter being usually reused as animal feed. Soy sauce is a traditional ingredient in East and Southeast Asian cuisines, where it is used in cooking and as a condiment. All varieties of soy sauce are salty, earthy, brownish liquids intended to season food while cooking or at the table. [Wikipedia]"
481,717,Grains,Soy products,,"Miso is a traditional Japanese seasoning produced by fermenting rice, barley and/or soybeans, with salt and the fungus k?jikin, the most typical miso being made with soy. The result is a thick paste used for sauces and spreads, pickling vegetables or meats, and mixing with dashi soup stock to serve as miso soup called misoshiru, a Japanese culinary staple. High in protein and rich in vitamins and minerals, miso played an important nutritional role in feudal Japan. Miso is still very widely used in Japan, both in traditional and modern cooking, and has been gaining world-wide interest. Miso is typically salty, but its flavor and aroma depend on various factors in the ingredients and fermentation process. There is a very wide variety of miso available. Different varieties of miso have been described as salty, sweet, earthy, fruity, and savory. [Wikipedia]"
482,718,Grains,Soy products,,"Tofu is a food made by coagulating soy milk and then pressing the resulting curds into soft white blocks. It is part of East Asian and Southeast Asian cuisine such as Chinese, Japanese, Korean, Indonesian, Vietnamese, and others. There are many different varieties of tofu, including fresh tofu and tofu that has been processed in some way. Tofu has a subtle flavor and can be used in savory and sweet dishes. It is often seasoned or marinated to suit the dish. Tofu has a low calorie count, relatively large amounts of protein, and little fat. It is high in iron and, depending on the coagulant used in manufacturing, may also be high in calcium and/or magnesium. [Wikipedia]"
483,722,Protein,Roe,,"Roe or hard roe is the fully ripe internal egg masses in the ovaries, or the released external egg masses of fish and certain marine animals, such as shrimp, scallop and sea urchins. As a seafood, roe is used both as a cooked ingredient in many dishes and as a raw ingredient. The term soft roe or white roe denotes fish milt. [Wikipedia]"
484,723,Protein,Fishes,Cichlidae,"Tilapia is the common name for nearly a hundred species of cichlid fish from the tilapiine cichlid tribe. Tilapia inhabit a variety of fresh water habitats, including shallow streams, ponds, rivers and lakes. Because of their large size, rapid growth, and palatability, tilapiine cichlids are the focus of major farming efforts, specifically various species of Oreochromis, Sarotherodon, and Tilapia, collectively known colloquially as tilapia. Like other large fish, they are a good source of protein and popular among artisanal and commercial fisheries. [Wikipedia]"
485,724,Processed Food,Other confectioneries,,"Icing, also called frosting in the United States, is a sweet often creamy glaze made of sugar with a liquid such as water or milk, that is often enriched with ingredients such as butter, egg whites, cream cheese, or flavorings and is used to cover or decorate baked goods, such as cakes or cookies. [Wikipedia]"
486,725,Processed Food,Snack foods,,
487,728,Processed Food,Tex-Mex cuisine,,"A burrito, or taco de harina, is a type of Mexican food. It consists of a wheat flour tortilla wrapped or folded around a filling. The flour tortilla is usually lightly grilled or steamed, to soften it and make it more pliable. In Mexico, refried beans or meat are sometimes the only fillings. In the United States, however, fillings generally include a combination of ingredients such as Mexican-style rice or plain rice, refried beans or beans, lettuce, salsa, meat, avocado, cheese, and sour cream, and the size varies, with some burritos considerably larger than their Mexican counterparts. [Wikipedia]"
